"",weight,が良く,の良い,がよく,のよい,もよく,の悪い,が良いです,も良く,も良好です,も良いです,がいいです,が良い,が悪く,が悪い,が悪いと,もいいです,が良いのか,は良い,は良好です,が良いので,がいい,にある,の高い,がよい,もいい,は良く,もよい,もいいですね,があり,があります,は良いです,のある,がいいので,が良くて,も良い,も悪くなく,はいいと,で満足しています,も良いので,といい
weight,"",1.51897636242187e-16,1.42034288108208e-16,1.37606663062827e-16,1.36159102252228e-16,1.16167759002896e-16,1.14599282082348e-16,1.11644920229945e-16,1.07297950991256e-16,1.03332230619475e-16,1.02719446934296e-16,9.76553709112e-17,9.1570710137234e-17,9.035200820777e-17,8.28973324153342e-17,8.07278886549356e-17,8.02951670696515e-17,7.87539932260747e-17,7.83148876456399e-17,7.77030076519624e-17,7.58186987464426e-17,7.42908138386698e-17,7.23772399227822e-17,7.21614194725305e-17,7.08568099156904e-17,7.02251528163338e-17,7.0166035093145e-17,6.72379036653568e-17,6.5228755547983e-17,6.45877152500269e-17,6.41426822037611e-17,6.19077172295261e-17,6.17725927338362e-17,6.10572588159466e-17,6.07456876388405e-17,6.02942862945491e-17,5.96932934723857e-17,5.88642691646118e-17,5.84481447231635e-17,5.81540118752159e-17,5.73947545474368e-17
表現力,2.9858625903141e-18,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,1,0,0,0,0,0
程度,2.9813097632671e-18,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
バッテリー持ち,2.9429930376265e-18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ケース,2.93352460148931e-18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
撮影,2.90155046795111e-18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
機能,2.89970177621353e-18,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,10,2,0,1,0,0,1,0,0,1,0,0
花形フード,2.88183975573766e-18,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機動性,2.87985753864682e-18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
色味,2.84214299031191e-18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
クリック感,2.84169483745186e-18,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
グリップ形状,2.78971359785577e-18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
動画,2.75102609290319e-18,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
軽さ,2.70684631297386e-18,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
環境,2.70154147491333e-18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
センス,2.61416254376829e-18,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
